Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
114,40.875,-19.125,-72.6875,-0.3662109,0.02539063,0.9013672,0.1323242,-0.3686523,-0.262207
115,32.4375,-7.1875,-56.25,-0.4853516,-0.1015625,1.059082,0.1269531,-0.3837891,-0.2519531
116,29.6875,-6.4375,-53.0625,-0.4379883,-0.1210938,1.071289,0.1455078,-0.3969727,-0.2490234
117,26.1875,-5.5,-51.0625,-0.421875,-0.144043,1.122559,0.1455078,-0.3969727,-0.2490234
118,21.8125,-4.0625,-50.25,-0.3779297,-0.1289063,1.122559,0.1455078,-0.3969727,-0.2490234
119,18,-1.875,-50.125,-0.3305664,-0.1557617,1.138184,0.1347656,-0.4018555,-0.2543945
120,13.5625,0.875,-48.75,-0.3383789,-0.1289063,1.185547,0.1347656,-0.4018555,-0.2543945
121,11.125,4.3125,-47.375,-0.3261719,-0.1171875,1.169922,0.1347656,-0.4018555,-0.2543945
122,9.6875,7.4375,-49.25,-0.2827148,-0.1328125,1.221191,0.1323242,-0.4072266,-0.262207
123,8.8125,9.75,-52.9375,-0.2905273,-0.1479492,1.233398,0.1323242,-0.4072266,-0.262207
124,7.6875,10.0625,-56.9375,-0.2983398,-0.1328125,1.20166,0.1455078,-0.4121094,-0.2490234
125,2.5625,9.875,-59.375,-0.3027344,-0.1171875,1.14209,0.1455078,-0.4072266,-0.2568359
126,-8.5,8.4375,-55.875,-0.2788086,-0.109375,1.146484,0.1455078,-0.4072266,-0.2568359
127,-22,7.8125,-50.625,-0.2788086,-0.144043,1.197754,0.1430664,-0.4072266,-0.2651367
128,-34.0625,6.125,-45.75,-0.2548828,-0.1826172,1.154297,0.1430664,-0.4072266,-0.2651367
129,-40.3125,4.6875,-43.625,-0.2270508,-0.1904297,1.181641,0.1347656,-0.4042969,-0.2543945
130,-39.5625,3.125,-45.375,-0.2070313,-0.2641602,1.197754,0.15625,-0.3969727,-0.2568359
131,-33.125,2,-51.5625,-0.1591797,-0.3413086,1.296387,0.15625,-0.3969727,-0.2568359
132,-22,0.5,-57.25,-0.1513672,-0.3642578,1.264648,0.1455078,-0.3969727,-0.2543945
133,-15.5625,-2.1875,-60.3125,-0.1152344,-0.3564453,1.296387,0.1455078,-0.3969727,-0.2543945
134,-15,-4.625,-59.75,-0.1274414,-0.3491211,1.237305,0.1455078,-0.3969727,-0.2543945
