Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
169,-104.75,-211,-0.25,-0.4853516,0.3730469,0.6245117,-0.04638672,-0.4121094,0.1318359
170,-107.5625,-235,-8.625,-0.3540039,0.237793,0.7866211,-0.04638672,-0.4121094,0.1318359
171,-111.25,-247.6875,-10.6875,-0.4379883,0.2612305,0.8417969,-0.04638672,-0.4121094,0.1318359
172,-107.625,-271.125,-24.5,-0.6328125,0.3808594,0.7587891,-0.04638672,-0.4121094,0.1318359
173,-68.5625,-260.9375,-32.9375,-0.7402344,0.1103516,1.470215,-0.04638672,-0.4121094,0.1318359
174,-7.0625,-162.75,8.5625,-0.4936523,-0.2485352,2.067383,-0.04638672,-0.4121094,0.1318359
175,15.0625,-77.6875,41.25,-0.3862305,0.1875,0.8735352,-0.04638672,-0.4121094,0.1318359
176,-11.6875,-99.5625,30.6875,0.04345703,0.2495117,0.9130859,-0.04638672,-0.4121094,0.1318359
177,-7.1875,-135.6875,45.5,-0.4897461,0.2299805,0.972168,-0.04638672,-0.4121094,0.1318359
179,-30.9375,-136.0625,53.5625,-0.5292969,0.3188477,1.193848,-0.04638672,-0.4121094,0.1318359
180,-64.125,-128.25,63.375,-0.612793,0.1411133,1.146484,-0.04638672,-0.4121094,0.1318359
181,-96.3125,-140.25,86.375,-0.5771484,0.06396484,1.126465,-0.04638672,-0.4121094,0.1318359
182,-91.125,-160.0625,102.8125,-0.5532227,0.06005859,1.197754,-0.04638672,-0.4121094,0.1318359
183,-64.375,-166.1875,122.4375,-0.640625,0.04833984,1.217285,-0.04638672,-0.4121094,0.1318359
184,-34.125,-164.5625,145.4375,-0.5771484,0.02929688,1.304199,-0.04638672,-0.4121094,0.1318359
185,2.375,-164.6875,174.4375,-0.5649414,0.05615234,1.233398,-0.04638672,-0.4121094,0.1318359
186,39.1875,-162.6875,202.5,-0.4775391,0.02929688,1.209473,-0.04638672,-0.4121094,0.1318359
187,78.1875,-158.3125,229.9375,-0.3862305,0.02539063,1.177734,-0.04638672,-0.4121094,0.1318359
188,118,-151.5625,256.375,-0.2944336,-0.0009765625,1.098633,-0.04638672,-0.4121094,0.1318359
189,163.375,-133.4375,285.75,-0.1391602,0.1298828,1.027832,-0.04638672,-0.4121094,0.1318359
190,190.1875,-127.4375,294.8125,-0.09960938,0.1103516,0.9448242,-0.04638672,-0.4121094,0.1318359
191,193.25,-122.0625,296.8125,0.015625,0.203125,0.9448242,-0.04638672,-0.4121094,0.1318359
192,185.3125,-104.5,299.75,0.03125,0.2958984,0.8535156,-0.04638672,-0.4121094,0.1318359
193,174.5625,-96.4375,291.8125,0.1787109,0.3613281,0.9013672,-0.04638672,-0.4121094,0.1318359
194,159.1875,-82.125,279.0625,0.2421875,0.4194336,0.8696289,-0.04638672,-0.4121094,0.1318359
195,143.75,-71.25,262.75,0.2543945,0.3769531,0.8261719,-0.04638672,-0.4121094,0.1318359
196,129.9375,-63.8125,242,0.2739258,0.4038086,0.8144531,-0.04638672,-0.4121094,0.1318359
197,117.375,-56.3125,217.0625,0.2504883,0.3999023,0.8144531,-0.04638672,-0.4121094,0.1318359
198,105.75,-49.1875,191.5625,0.206543,0.3964844,0.8696289,-0.04638672,-0.4121094,0.1318359
199,95.25,-36.375,171.625,0.1826172,0.4389648,0.8774414,-0.04638672,-0.4121094,0.1318359
200,81.875,-31,151.25,0.234375,0.4926758,0.9169922,-0.04638672,-0.4121094,0.1318359
201,70.8125,-30.375,135.1875,0.2543945,0.4926758,0.8535156,-0.04638672,-0.4121094,0.1318359
202,64.25,-28.75,122.4375,0.234375,0.4155273,0.8852539,-0.04638672,-0.4121094,0.1318359
203,64.0625,-30.25,112.75,0.2143555,0.4272461,0.8974609,-0.04638672,-0.4121094,0.1318359
204,61.625,-33.1875,103.25,0.2182617,0.4428711,0.9013672,-0.04638672,-0.4121094,0.1318359
205,58.8125,-33.5625,93.0625,0.1987305,0.4389648,0.9365234,-0.04638672,-0.4121094,0.1318359
206,59.625,-30.6875,83.375,0.1787109,0.4462891,0.9208984,-0.04638672,-0.4121094,0.1318359
207,59.125,-22.5625,70.125,0.2104492,0.4814453,0.9760742,-0.04638672,-0.4121094,0.1318359
208,49.3125,-16,53.1875,0.1787109,0.5585938,0.8696289,-0.04638672,-0.4121094,0.1318359
209,44.625,-8.875,42.1875,0.1586914,0.5043945,1.043457,-0.04638672,-0.4121094,0.1318359
210,42.6875,-1.875,40.9375,0.1586914,0.496582,0.9682617,-0.04638672,-0.4121094,0.1318359
211,60.625,14.6875,61.5,0.1787109,0.5703125,0.8852539,-0.04638672,-0.4121094,0.1318359
212,70.875,5,64.75,0.2783203,0.6435547,0.9169922,-0.04638672,-0.4121094,0.1318359
213,67.3125,0.75,59.6875,0.262207,0.6206055,0.9013672,-0.04638672,-0.4121094,0.1318359
214,61.5,0,56.9375,0.1987305,0.5507813,0.9326172,-0.04638672,-0.4121094,0.1318359
215,62.75,0.625,59,0.2026367,0.5585938,0.9287109,-0.04638672,-0.4121094,0.1318359
216,65.75,1.4375,57.0625,0.2304688,0.5546875,0.9326172,-0.04638672,-0.4121094,0.1318359
217,62.6875,5.375,49.9375,0.2265625,0.5776367,0.9287109,-0.04638672,-0.4121094,0.1318359
218,54.8125,6.9375,42.8125,0.2182617,0.6088867,0.9487305,-0.04638672,-0.4121094,0.1318359
219,46.1875,9.0625,34.75,0.2543945,0.6630859,0.9130859,-0.04638672,-0.4121094,0.1318359
220,31.125,7.5,22.125,0.1987305,0.7285156,0.8100586,-0.04638672,-0.4121094,0.1318359
221,18.1875,4.75,9.875,0.3017578,0.7285156,0.8930664,-0.04638672,-0.4121094,0.1318359
222,9.75,4,2,0.3100586,0.6821289,0.8891602,-0.04638672,-0.4121094,0.1318359
223,4,5.4375,-3.5,0.3017578,0.6474609,0.9013672,-0.04638672,-0.4121094,0.1318359
224,1.4375,3.6875,-8.75,0.2861328,0.6240234,0.9013672,-0.04638672,-0.4121094,0.1318359
225,2.3125,4.4375,-12.125,0.2739258,0.6049805,0.9248047,-0.04638672,-0.4121094,0.1318359
226,2,3.125,-15.0625,0.2583008,0.6166992,0.9091797,-0.04638672,-0.4121094,0.1318359
227,1.6875,5.1875,-17.4375,0.222168,0.581543,0.940918,-0.04638672,-0.4121094,0.1318359
228,2.8125,11.375,-15.5625,0.2026367,0.546875,0.9604492,-0.04638672,-0.4121094,0.1318359
229,9.5625,18,-10.4375,0.1748047,0.5507813,0.9487305,-0.04638672,-0.4121094,0.1318359
230,18.5,20.125,-5.1875,0.1826172,0.5546875,0.9326172,-0.04638672,-0.4121094,0.1318359
231,26,21.9375,-1.75,0.2104492,0.5390625,0.9169922,-0.04638672,-0.4121094,0.1318359
232,28.375,23.3125,0.5625,0.206543,0.5625,0.8735352,-0.04638672,-0.4121094,0.1318359
233,28.4375,32,-3.5,0.4291992,0.6474609,0.9052734,-0.04638672,-0.4121094,0.1318359
234,24.5,32.3125,-10.3125,0.1147461,0.496582,0.7788086,-0.04638672,-0.4121094,0.1318359
235,23.125,24.8125,-6.625,0.1826172,0.6240234,0.9013672,-0.04638672,-0.4121094,0.1318359
236,16.3125,30.9375,-10.6875,0.1987305,0.7246094,0.8618164,-0.04638672,-0.4121094,0.1318359
237,15,37.875,-17.8125,0.2304688,0.6899414,0.8891602,-0.04638672,-0.4121094,0.1318359
238,8,36.375,-26.5625,0.2182617,0.6591797,0.8496094,-0.04638672,-0.4121094,0.1318359
239,3.375,36.25,-31.625,0.1787109,0.6396484,0.8735352,-0.04638672,-0.4121094,0.1318359
240,2.625,37.375,-33,0.2104492,0.6318359,0.8696289,-0.04638672,-0.4121094,0.1318359
241,2.0625,38.4375,-33.625,0.1787109,0.6240234,0.8735352,-0.04638672,-0.4121094,0.1318359
242,1.4375,40.5625,-32.25,0.1704102,0.612793,0.8813477,-0.04638672,-0.4121094,0.1318359
244,3.5625,43.5625,-30.5625,0.1625977,0.5703125,0.9052734,-0.04638672,-0.4121094,0.1318359
245,4.8125,46.625,-28.6875,0.1147461,0.6049805,0.8535156,-0.04638672,-0.4121094,0.1318359
246,5.1875,49.375,-26.4375,0.1748047,0.6279297,0.8535156,-0.04638672,-0.4121094,0.1318359
247,-1.625,45.5625,-23.5625,0.1865234,0.7016602,0.8696289,-0.04638672,-0.4121094,0.1318359
248,-5.0625,43.375,-26.375,0.2026367,0.7016602,0.8579102,-0.04638672,-0.4121094,0.1318359
249,-5.8125,48.625,-25.9375,0.1904297,0.6435547,0.8852539,-0.04638672,-0.4121094,0.1318359
250,-0.3125,50.25,-21.9375,0.1269531,0.6240234,0.8496094,-0.04638672,-0.4121094,0.1318359
251,4.5625,49.875,-21.5625,0.1030273,0.612793,0.8735352,-0.04638672,-0.4121094,0.1318359
252,7.375,44.1875,-24.125,0.09082031,0.6049805,0.8696289,-0.04638672,-0.4121094,0.1318359
253,7.125,39.9375,-25.0625,0.1030273,0.6552734,0.8852539,-0.04638672,-0.4121094,0.1318359
254,8.5,35,-23.4375,0.1069336,0.6665039,0.9526367,-0.04638672,-0.4121094,0.1318359
255,8.1875,34.4375,-21.875,0.1030273,0.6318359,0.8891602,-0.04638672,-0.4121094,0.1318359
256,6.0625,34.25,-17.3125,0.09082031,0.6010742,0.9169922,-0.04638672,-0.4121094,0.1318359
257,7.8125,33.125,-14.875,0.07910156,0.6010742,0.9287109,-0.04638672,-0.4121094,0.1318359
258,8.0625,29.75,-10.1875,0.01953125,0.5507813,0.9208984,-0.04638672,-0.4121094,0.1318359
259,8.5,22.375,-7.0625,0.08691406,0.5390625,0.8696289,-0.04638672,-0.4121094,0.1318359
260,13.75,20.3125,-3.3125,0.04736328,0.5664063,0.9326172,-0.04638672,-0.4121094,0.1318359
261,17.0625,18.25,3,0.06738281,0.5742188,0.8061523,-0.04638672,-0.4121094,0.1318359
262,18.0625,13.8125,8.5,0.04345703,0.6318359,0.8618164,-0.04638672,-0.4121094,0.1318359
263,24,11.6875,12.6875,0.04736328,0.6318359,0.8930664,-0.04638672,-0.4121094,0.1318359
264,31.1875,5,11.3125,0.015625,0.6357422,0.8891602,-0.04638672,-0.4121094,0.1318359
265,33.25,-1,7.5625,0.03955078,0.5893555,0.8061523,-0.04638672,-0.4121094,0.1318359
266,32.75,-2.5,7.125,0.06738281,0.6240234,0.9091797,-0.04638672,-0.4121094,0.1318359
267,40,-1.8125,9,0.06298828,0.6665039,0.8696289,-0.04638672,-0.4121094,0.1318359
268,45.4375,0.875,12.5,0.06738281,0.6552734,0.8735352,-0.04638672,-0.4121094,0.1318359
269,45.625,6.6875,13.5625,0.09082031,0.581543,0.8496094,-0.04638672,-0.4121094,0.1318359
270,59.125,5.0625,15.75,-0.00390625,0.527832,0.8339844,-0.04638672,-0.4121094,0.1318359
271,68.4375,6.125,16.3125,0.08300781,0.581543,0.8535156,-0.04638672,-0.4121094,0.1318359
272,65.5,-4.6875,6.25,0.07128906,0.6049805,0.8261719,-0.04638672,-0.4121094,0.1318359
273,60.25,-14.5,-3.5,0.07910156,0.5854492,0.8144531,-0.04638672,-0.4121094,0.1318359
274,55.3125,-21.6875,-9.0625,0.02734375,0.6240234,0.8417969,-0.04638672,-0.4121094,0.1318359
275,51,-23.8125,-13,0.02734375,0.612793,0.8183594,-0.04638672,-0.4121094,0.1318359
276,48.4375,-23.4375,-15.6875,0.03125,0.6396484,0.8417969,-0.04638672,-0.4121094,0.1318359
277,47.625,-24.125,-16.375,0.03955078,0.6206055,0.8061523,-0.04638672,-0.4121094,0.1318359
278,48.8125,-22.4375,-11.8125,0.04736328,0.6704102,0.8100586,-0.04638672,-0.4121094,0.1318359
279,48.25,-22.3125,-6,0.1069336,0.6899414,0.7983398,-0.04638672,-0.4121094,0.1318359
280,49.0625,-20.4375,-3.5625,0.09912109,0.7480469,0.8183594,-0.04638672,-0.4121094,0.1318359
281,50.5625,-16.75,-0.625,0.1030273,0.7324219,0.7905273,-0.04638672,-0.4121094,0.1318359
282,51.875,-9.6875,0.4375,0.09082031,0.6938477,0.8183594,-0.04638672,-0.4121094,0.1318359
283,55.25,-7.8125,0.25,0.05517578,0.6860352,0.7749023,-0.04638672,-0.4121094,0.1318359
284,56.8125,-5.9375,-0.5,0.05908203,0.7441406,0.7983398,-0.04638672,-0.4121094,0.1318359
285,57.375,-7.9375,-3.0625,0.07910156,0.7592773,0.7075195,-0.04638672,-0.4121094,0.1318359
286,56.5625,-13.0625,-8.375,0.1069336,0.8017578,0.7314453,-0.04638672,-0.4121094,0.1318359
287,51.9375,-18.3125,-16.3125,0.1030273,0.8251953,0.7666016,-0.04638672,-0.4121094,0.1318359
288,44.75,-16.625,-20.75,0.1147461,0.8056641,0.7905273,-0.04638672,-0.4121094,0.1318359
289,42.25,-11.75,-22.25,0.07519531,0.7827148,0.7431641,-0.04638672,-0.4121094,0.1318359
290,39.5,-6.3125,-21.875,0.05517578,0.7519531,0.7788086,-0.04638672,-0.4121094,0.1318359
291,35.5,-7.875,-21.4375,0.09082031,0.7749023,0.7231445,-0.04638672,-0.4121094,0.1318359
292,29.9375,-7.625,-19.5625,0.04736328,0.7866211,0.7392578,-0.04638672,-0.4121094,0.1318359
293,20.1875,-3.6875,-18.9375,0.08691406,0.7905273,0.7392578,-0.04638672,-0.4121094,0.1318359
294,13.6875,-5.125,-14.25,0.1147461,0.7592773,0.7587891,-0.04638672,-0.4121094,0.1318359
295,14.125,0.25,-8.25,0.07128906,0.7788086,0.7270508,-0.04638672,-0.4121094,0.1318359
296,11.1875,3,-3.4375,0.07910156,0.7866211,0.7075195,-0.04638672,-0.4121094,0.1318359
297,14.375,2.875,0.6875,0.07128906,0.8056641,0.6879883,-0.04638672,-0.4121094,0.1318359
298,11.4375,-0.1875,4.5,0.1069336,0.8637695,0.6757813,-0.04638672,-0.4121094,0.1318359
299,6.6875,2.6875,7.125,0.05517578,0.8598633,0.715332,-0.04638672,-0.4121094,0.1318359
300,0.25,6.375,9.9375,0.03515625,0.8291016,0.6918945,-0.04638672,-0.4121094,0.1318359
301,-1.4375,11.5625,10.9375,0.01123047,0.7788086,0.7075195,-0.04638672,-0.4121094,0.1318359
302,-7.8125,15.5625,11.9375,0.04736328,0.7866211,0.6918945,-0.04638672,-0.4121094,0.1318359
303,-6.375,21.0625,11.75,0.09521484,0.8017578,0.7392578,-0.04638672,-0.4121094,0.1318359
304,-5,24.3125,9.875,0.09912109,0.8793945,0.7270508,-0.04638672,-0.4121094,0.1318359
305,-11,29.25,5.75,0.08300781,0.8212891,0.7431641,-0.04638672,-0.4121094,0.1318359
306,-12.75,30.75,2.1875,0.05517578,0.7519531,0.6958008,-0.04638672,-0.4121094,0.1318359
307,-12.0625,29.8125,-0.625,-0.0078125,0.7553711,0.7114258,-0.04638672,-0.4121094,0.1318359
309,-15.8125,30.6875,-1.4375,0.03955078,0.7553711,0.7270508,-0.04638672,-0.4121094,0.1318359
310,-15.1875,31.9375,-3.1875,0.04345703,0.7983398,0.7509766,-0.04638672,-0.4121094,0.1318359
311,-14.625,35.8125,-5.1875,0.02734375,0.7441406,0.7231445,-0.04638672,-0.4121094,0.1318359
312,-10.3125,35.0625,-8.9375,0.03955078,0.7167969,0.7431641,-0.04638672,-0.4121094,0.1318359
313,-8.125,30.4375,-14.125,0.05126953,0.6782227,0.7114258,-0.04638672,-0.4121094,0.1318359
314,-11.0625,23,-16.875,0.07128906,0.6279297,0.6835938,-0.04638672,-0.4121094,0.1318359
315,-7,19.6875,-11.3125,0.04345703,0.6474609,0.7270508,-0.04638672,-0.4121094,0.1318359
316,-5.4375,18.3125,-2.1875,-0.00390625,0.6743164,0.7270508,-0.04638672,-0.4121094,0.1318359
317,-5.375,21.4375,8.125,0.03125,0.6899414,0.7075195,-0.04638672,-0.4121094,0.1318359
318,-6.1875,21.5,18.75,0.02734375,0.6704102,0.7075195,-0.04638672,-0.4121094,0.1318359
319,-3.3125,16.625,26.375,0.03125,0.6899414,0.6918945,-0.04638672,-0.4121094,0.1318359
320,1.625,15.5625,31.125,0.05126953,0.6782227,0.7470703,-0.04638672,-0.4121094,0.1318359
321,2.125,12.5,30,0.06738281,0.6938477,0.7353516,-0.04638672,-0.4121094,0.1318359
322,-1.875,14.0625,24.1875,0.07128906,0.7094727,0.7075195,-0.04638672,-0.4121094,0.1318359
323,-3.1875,16.75,16.9375,0.04736328,0.7749023,0.7470703,-0.04638672,-0.4121094,0.1318359
324,-4.4375,17.0625,11.6875,0.08300781,0.7944336,0.7270508,-0.04638672,-0.4121094,0.1318359
325,-3.0625,16,11.875,0.06738281,0.7905273,0.7270508,-0.04638672,-0.4121094,0.1318359
326,-0.3125,13.1875,16.9375,0.01953125,0.7285156,0.699707,-0.04638672,-0.4121094,0.1318359
327,-1.6875,14.75,22.3125,0.007324219,0.7553711,0.7270508,-0.04638672,-0.4121094,0.1318359
328,-1.9375,13.0625,27.875,-0.04003906,0.6630859,0.7231445,-0.04638672,-0.4121094,0.1318359
329,0.3125,10.75,33.5625,0.01953125,0.6474609,0.7431641,-0.04638672,-0.4121094,0.1318359
330,5.5,6.1875,37.875,0.007324219,0.6782227,0.7270508,-0.04638672,-0.4121094,0.1318359
331,5.6875,5.0625,39.625,0,0.7207031,0.7353516,-0.04638672,-0.4121094,0.1318359
332,2.625,8.125,41.6875,-0.01171875,0.7631836,0.7392578,-0.04638672,-0.4121094,0.1318359
333,0,6.375,40.5,0.06738281,0.8291016,0.7353516,-0.04638672,-0.4121094,0.1318359
334,0.0625,5.0625,36.0625,0.05517578,0.8251953,0.7431641,-0.04638672,-0.4121094,0.1318359
335,1.0625,1.3125,28.9375,0.06298828,0.7553711,0.715332,-0.04638672,-0.4121094,0.1318359
336,5.25,-4,23.625,0.07910156,0.8134766,0.7231445,-0.04638672,-0.4121094,0.1318359
337,8.6875,-6.9375,15.625,0.1030273,0.7709961,0.7431641,-0.04638672,-0.4121094,0.1318359
338,12.9375,-7.9375,11.0625,0.06298828,0.7207031,0.7905273,-0.04638672,-0.4121094,0.1318359
339,17.6875,-5.5625,11,0.06298828,0.7553711,0.7587891,-0.04638672,-0.4121094,0.1318359
340,18.1875,-3.8125,11.125,0.1108398,0.7749023,0.7626953,-0.04638672,-0.4121094,0.1318359
341,18.375,-3.25,12.75,0.06738281,0.7983398,0.7192383,-0.04638672,-0.4121094,0.1318359
342,19.5625,-0.4375,15.125,0.07128906,0.8056641,0.7509766,-0.04638672,-0.4121094,0.1318359
343,21.6875,3.75,17.4375,0.0234375,0.7285156,0.7353516,-0.04638672,-0.4121094,0.1318359
344,25,4.8125,17.125,0.03125,0.7866211,0.7431641,-0.04638672,-0.4121094,0.1318359
345,24.5,9.5625,13.125,0.1147461,0.7866211,0.7666016,-0.04638672,-0.4121094,0.1318359
346,20.9375,14.125,5.625,0.2026367,0.8369141,0.7270508,-0.04638672,-0.4121094,0.1318359
347,12.375,9.6875,-3.9375,0.1787109,0.8017578,0.7231445,-0.04638672,-0.4121094,0.1318359
348,1.6875,8.5,-7.5625,0.1865234,0.8212891,0.7270508,-0.04638672,-0.4121094,0.1318359
