Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
114,44.875,-21.9375,2.375,0.01953125,-0.4956055,1.003906,0.5219727,0.02246094,-0.5385742
115,42.875,-19.1875,-8.5,0.05908203,-0.4067383,1.102539,0.5004883,-0.01318359,-0.5546875
116,42.5625,-16.375,-6.5625,0.08691406,-0.4106445,1.102539,0.5004883,-0.01318359,-0.5546875
117,42.25,-15,-4.5,0.06738281,-0.4301758,1.075195,0.503418,-0.03369141,-0.5595703
118,43.5625,-13.9375,-0.75,0.1069336,-0.4379883,1.09082,0.503418,-0.03369141,-0.5595703
119,46.375,-11.375,1.125,0.1108398,-0.4570313,1.067383,0.503418,-0.03369141,-0.5595703
120,47.8125,-6.875,2.75,0.07910156,-0.4648438,1.102539,0.503418,-0.03076172,-0.5571289
121,47,-2.0625,4.6875,0.1030273,-0.4492188,1.075195,0.503418,-0.03076172,-0.5571289
122,46.4375,1.8125,5.25,0.05908203,-0.3955078,1.031738,0.4926758,-0.03613281,-0.5625
123,46.6875,4.0625,4.125,0.07910156,-0.3105469,1,0.4926758,-0.03613281,-0.5625
124,45.3125,3.1875,3.5,0.05908203,-0.3759766,1.023926,0.5058594,-0.04345703,-0.5595703
125,41,1.25,4.4375,0.07128906,-0.3720703,1.011719,0.4926758,-0.04882813,-0.5595703
126,38.875,-2.125,6,0.05908203,-0.3916016,1.003906,0.4926758,-0.04882813,-0.5595703
127,39,-3.5625,8,0.05908203,-0.3720703,1.035645,0.503418,-0.05126953,-0.5595703
128,39.1875,-3.375,10.0625,0.06738281,-0.3994141,1.027832,0.503418,-0.05126953,-0.5595703
129,38.875,-3.125,11.125,0.06738281,-0.3720703,1.027832,0.4897461,-0.05126953,-0.5571289
130,36.9375,-1.9375,11.5,0.07128906,-0.402832,1.027832,0.4926758,-0.06396484,-0.5673828
131,33.125,1.3125,12.0625,0.09912109,-0.4106445,1.055176,0.4926758,-0.06396484,-0.5673828
132,28.125,3.4375,14.75,0.05517578,-0.3955078,1.039551,0.4951172,-0.06933594,-0.5649414
133,22.9375,2.3125,20.6875,0.04736328,-0.418457,1.015625,0.4897461,-0.06689453,-0.5625
134,17.5,5.375,35.1875,0.01953125,-0.484375,1.083008,0.4897461,-0.06689453,-0.5625
135,18.5625,5.75,39,0.08691406,-0.3217773,1.067383,0.503418,-0.07714844,-0.5649414
136,21.25,1,28.75,0.06298828,-0.3564453,1.079102,0.503418,-0.07714844,-0.5649414
137,27.4375,-3.6875,20.375,0.04345703,-0.3452148,1.11084,0.4951172,-0.07714844,-0.5571289
138,34.8125,-3.5625,18,0.04736328,-0.3603516,1.114746,0.5004883,-0.08740234,-0.5673828
139,37,-0.6875,17.5625,-0.00390625,-0.3413086,1.122559,0.5004883,-0.08740234,-0.5673828
140,34.75,3.1875,16.875,0.01123047,-0.3413086,1.094727,0.5058594,-0.09472656,-0.5727539
141,32.125,6.8125,17.0625,0.015625,-0.3759766,1.086914,0.5058594,-0.09472656,-0.5727539
142,31.5,9,16.5,0.015625,-0.3105469,1.079102,0.4951172,-0.08984375,-0.5595703
143,34,9.8125,13.5625,-0.01171875,-0.3139648,1.079102,0.4980469,-0.08447266,-0.5649414
144,37.8125,9.5625,10.1875,0.01123047,-0.3066406,1.11084,0.4980469,-0.08447266,-0.5649414
145,41.5,9.0625,6.8125,0.003417969,-0.3105469,1.083008,0.503418,-0.1152344,-0.5625
146,47.6875,8.5,5.0625,-0.05175781,-0.3066406,1.11084,0.5058594,-0.1025391,-0.5595703
147,51.8125,8.6875,5.5625,-0.00390625,-0.3027344,1.09082,0.5058594,-0.1025391,-0.5595703
148,56.1875,7.75,6.75,-0.02783203,-0.2563477,1.126465,0.5195313,-0.1152344,-0.5571289
149,61.4375,4.4375,8.5,-0.05566406,-0.2524414,1.086914,0.5195313,-0.1152344,-0.5571289
150,65.6875,-0.4375,9.6875,-0.02001953,-0.2021484,1.106934,0.5058594,-0.1230469,-0.5649414
151,65.875,-7.0625,7.25,-0.02392578,-0.2021484,1.126465,0.5058594,-0.1333008,-0.5727539
152,64.5625,-11.6875,4.5625,-0.05566406,-0.2250977,1.102539,0.5058594,-0.1333008,-0.5727539
153,57.6875,-10.75,6.375,-0.04003906,-0.2177734,1.102539,0.5058594,-0.1333008,-0.5727539
