Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
114,-19.6875,-9.6875,-13.625,-0.2983398,-0.06689453,1.011719,0.2685547,-0.2280273,-0.2436523
115,-16.5625,3.75,-19.875,-0.3422852,-0.09765625,1.09082,0.2709961,-0.2050781,-0.2387695
116,-12.125,-4,-17.3125,-0.3740234,-0.109375,1.05127,0.2709961,-0.2050781,-0.2387695
117,-9.3125,-13.6875,-14.25,-0.3461914,-0.1015625,1.043457,0.2548828,-0.199707,-0.2412109
118,-7.25,-18.5,-9.1875,-0.2983398,-0.07470703,1.083008,0.2548828,-0.199707,-0.2412109
119,-8,-15.5625,-1.375,-0.3183594,-0.1015625,1.138184,0.2578125,-0.1972656,-0.2358398
120,-9.8125,-5.25,6.9375,-0.2983398,-0.1015625,1.154297,0.2578125,-0.1918945,-0.2358398
121,-13.25,4.5,14.1875,-0.2944336,-0.09765625,1.138184,0.2578125,-0.1918945,-0.2358398
122,66.0625,6.0625,85.4375,-0.421875,-0.2832031,1.644043,0.2470703,-0.199707,-0.230957
123,50.1875,17.5625,60.1875,-0.4814453,0.04443359,1.035645,0.265625,-0.2050781,-0.2358398
124,-11.1875,6.125,51.1875,-0.3901367,-0.04003906,0.8774414,0.265625,-0.2050781,-0.2358398
125,-45.3125,-10.9375,21.0625,-0.3740234,0.1489258,0.8579102,0.2602539,-0.2124023,-0.2358398
126,-35.4375,-19,33.0625,-0.1870117,-0.2563477,1.193848,0.2602539,-0.2124023,-0.2358398
127,-15.0625,-13.25,38.1875,-0.203125,-0.05126953,1.158203,0.2631836,-0.199707,-0.2333984
128,-16.375,-11.4375,35.4375,-0.21875,-0.0009765625,1.197754,0.2685547,-0.199707,-0.2333984
129,-13.875,-13.25,28.0625,-0.1948242,-0.05908203,1.134277,0.2685547,-0.199707,-0.2333984
