Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
114,8.0625,13.4375,-4.125,0.1030273,0.1064453,0.9130859,0.190918,-0.1948242,-0.2124023
115,11.625,9.6875,25.5,0.09082031,0.137207,0.8535156,0.1987305,-0.199707,-0.2202148
116,11.4375,13.6875,26.25,0.06738281,0.1259766,0.7944336,0.1987305,-0.199707,-0.2202148
117,12,18.375,26.125,0.05126953,0.1606445,0.8022461,0.1962891,-0.2021484,-0.2202148
118,14.5,21.9375,25.9375,0.03955078,0.1567383,0.7749023,0.2148438,-0.2021484,-0.2255859
119,15.875,25.125,24.625,0.015625,0.1181641,0.7788086,0.2148438,-0.2021484,-0.2255859
120,15.8125,28.1875,22.875,0,0.1181641,0.7548828,0.2070313,-0.199707,-0.2255859
121,14.875,32,20.6875,-0.02783203,0.152832,0.7431641,0.2070313,-0.199707,-0.2255859
122,13.875,35.625,18.5625,-0.03564453,0.08740234,0.7231445,0.2094727,-0.2099609,-0.2202148
123,13.875,40.5,17.1875,-0.04785156,0.09863281,0.671875,0.2231445,-0.215332,-0.2177734
124,15.6875,46.875,16.8125,-0.05566406,0.09082031,0.6362305,0.2231445,-0.215332,-0.2177734
125,17.6875,52.75,16.0625,-0.05566406,0.08349609,0.671875,0.2255859,-0.215332,-0.2255859
126,18.4375,58.8125,14.9375,-0.09570313,0.1064453,0.644043,0.230957,-0.215332,-0.2202148
127,20.8125,63.4375,14.9375,-0.1035156,0.1298828,0.6640625,0.230957,-0.215332,-0.2202148
128,27.125,63.875,15.4375,-0.1274414,0.1064453,0.6796875,0.2441406,-0.2075195,-0.2124023
129,35.0625,62.9375,15.6875,-0.1474609,0.1298828,0.6757813,0.2441406,-0.2075195,-0.2124023
130,41.875,63.3125,15.75,-0.1235352,0.07177734,0.6679688,0.2441406,-0.2075195,-0.2124023
131,45.875,62.1875,14.9375,-0.1235352,0.1220703,0.6835938,0.2602539,-0.2329102,-0.2177734
132,47.6875,60.75,14.125,-0.1552734,0.07568359,0.7114258,0.2602539,-0.2329102,-0.2177734
133,46.875,57,11.9375,-0.175293,0.06396484,0.7270508,0.2602539,-0.2329102,-0.2177734
134,41.6875,53.4375,10,-0.190918,0.07568359,0.699707,0.2602539,-0.2329102,-0.2177734
135,37.9375,49.1875,7.625,-0.1831055,0.05224609,0.8261719,0.2685547,-0.2280273,-0.2124023
136,29.875,50.4375,5.25,-0.1513672,0.03710938,0.8261719,0.2685547,-0.2280273,-0.2124023
137,18.75,56.5625,3.0625,-0.203125,0.09863281,0.8417969,0.2685547,-0.2280273,-0.2124023
138,16.8125,60.625,1.375,-0.2348633,0.08740234,0.7983398,0.2788086,-0.2353516,-0.2255859
139,23.875,59.6875,-0.1875,-0.2744141,0.07568359,0.8378906,0.2788086,-0.2353516,-0.2255859
140,29,55.6875,-0.9375,-0.246582,0.05615234,0.8974609,0.2788086,-0.2353516,-0.2255859
141,29,48.8125,-2.1875,-0.2626953,0.08740234,0.9604492,0.2949219,-0.2431641,-0.2226563
142,26.375,42.5,-4.5625,-0.2666016,0.07568359,1.015625,0.2949219,-0.2431641,-0.2226563
143,20.5,39.6875,-5.875,-0.2426758,0.04443359,1,0.2949219,-0.2431641,-0.2226563
144,12.625,39.1875,-6.875,-0.2705078,0.02929688,1.063477,0.2949219,-0.2456055,-0.2124023
145,6.125,42.125,-7.25,-0.2944336,0.04833984,1.071289,0.2949219,-0.2456055,-0.2124023
146,2.25,45.375,-7.4375,-0.2744141,0.02929688,1.023926,0.2949219,-0.2456055,-0.2124023
147,0.375,46.4375,-7.5625,-0.3066406,0.06787109,1.019531,0.2949219,-0.2456055,-0.2124023
148,0.5625,47.375,-5.875,-0.2866211,0.05615234,1.043457,0.3085938,-0.2431641,-0.2070313
149,1.25,49,-3.25,-0.2827148,0.04833984,1.075195,0.3085938,-0.2431641,-0.2070313
150,-4.5,51.625,-0.1875,-0.2744141,0.01757813,1.11084,0.3085938,-0.2431641,-0.2070313
151,-11.9375,53.125,3.625,-0.2666016,0.04833984,1.122559,0.3164063,-0.2485352,-0.2094727
152,-13.125,49.0625,6.25,-0.2827148,0.06396484,1.138184,0.3164063,-0.2485352,-0.2094727
153,-12.125,41.75,6.3125,-0.2827148,0.06787109,1.154297,0.3164063,-0.2485352,-0.2094727
154,-13,36.625,5.8125,-0.3066406,0.02929688,1.197754,0.3325195,-0.2456055,-0.2016602
155,-13.125,35.3125,4.8125,-0.3344727,0.03320313,1.193848,0.3325195,-0.2456055,-0.2016602
