Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
114,2.8125,0.3125,7.25,0.2939453,-0.02050781,1.071289,0.2016602,-0.1948242,-0.2358398
115,4.75,14.8125,7.875,0.2700195,0.03710938,1.094727,0.2016602,-0.1894531,-0.2358398
116,3.625,16.4375,6.875,0.2421875,-0.0009765625,1.067383,0.2016602,-0.1894531,-0.2358398
117,4.625,15.6875,7.0625,0.2700195,-0.03222656,1.035645,0.2016602,-0.1894531,-0.2358398
118,8.125,13.3125,7.75,0.2783203,-0.02441406,1.003906,0.2041016,-0.1918945,-0.2333984
119,11.1875,11.8125,8,0.2861328,-0.04003906,0.9960938,0.2041016,-0.1918945,-0.2333984
120,14.625,10.9375,8.4375,0.3061523,-0.02050781,1.007813,0.2041016,-0.1918945,-0.2333984
121,16.75,10.625,9.0625,0.2900391,0.001953125,1.031738,0.2124023,-0.1870117,-0.2387695
122,17.6875,10.625,9.625,0.3178711,0.01367188,1.075195,0.2124023,-0.1870117,-0.2387695
123,17,10.0625,10,0.2939453,0.02929688,1.059082,0.2094727,-0.2075195,-0.2387695
124,16.875,9.8125,9.9375,0.2939453,-0.004882813,1.079102,0.2094727,-0.2075195,-0.2387695
125,16.8125,10.1875,9.5,0.2783203,0.02148438,1.122559,0.2202148,-0.2021484,-0.2387695
126,14.875,11.875,8,0.2783203,0.01367188,1.098633,0.2094727,-0.2099609,-0.2412109
127,13.9375,13,6.375,0.2543945,0.02929688,1.134277,0.2094727,-0.2099609,-0.2412109
128,12.5625,14,5.0625,0.2939453,0.04101563,1.106934,0.2285156,-0.2250977,-0.2333984
129,11.6875,15.125,4,0.2304688,0.02148438,1.154297,0.2177734,-0.215332,-0.2358398
130,13.9375,12.4375,4.4375,0.2460938,0.009765625,1.122559,0.2177734,-0.215332,-0.2358398
131,16.8125,7.875,5.4375,0.2421875,0.001953125,1.055176,0.2148438,-0.2075195,-0.2358398
132,18.5625,4,6.8125,0.2382813,-0.0009765625,1.083008,0.2148438,-0.2075195,-0.2358398
133,21.6875,0.625,7.9375,0.234375,-0.02832031,1.086914,0.2202148,-0.2280273,-0.2358398
134,24.5625,-1.5625,8.25,0.2265625,0.005859375,1.106934,0.2255859,-0.2226563,-0.2358398
135,26.5625,-3.8125,8.75,0.206543,0.03320313,1.102539,0.2255859,-0.2226563,-0.2358398
136,28,-5.6875,8.375,0.2104492,0.02929688,1.11084,0.2285156,-0.2226563,-0.2412109
137,28.25,-6,8.5,0.206543,0.02929688,1.138184,0.2285156,-0.2226563,-0.2412109
138,26.6875,-4.1875,6.375,0.2104492,0.05224609,1.154297,0.2202148,-0.2280273,-0.2490234
139,25.75,-2.1875,4.4375,0.1665039,0.02539063,1.158203,0.2202148,-0.2280273,-0.2387695
140,26.6875,-1.3125,2.75,0.1987305,0.02929688,1.126465,0.2202148,-0.2280273,-0.2387695
141,28,-1.625,1.75,0.1987305,0.06005859,1.126465,0.2285156,-0.2250977,-0.2387695
142,28.9375,-1.9375,1.3125,0.2026367,0.05224609,1.11084,0.2255859,-0.2382813,-0.2436523
143,29.9375,-3.3125,2.1875,0.2104492,0.06005859,1.098633,0.2255859,-0.2382813,-0.2436523
144,31.6875,-6.75,3.875,0.1704102,0.04101563,1.09082,0.2202148,-0.2431641,-0.2490234
145,32.1875,-8.6875,5.6875,0.234375,0.09082031,1.11084,0.2202148,-0.2431641,-0.2490234
146,31.9375,-7.875,6.3125,0.2026367,0.09863281,1.126465,0.2177734,-0.2382813,-0.2543945
147,31.1875,-5.625,6.75,0.2460938,0.1025391,1.146484,0.2177734,-0.2456055,-0.2490234
148,30.25,-3.3125,7.5625,0.2182617,0.07568359,1.158203,0.2177734,-0.2456055,-0.2490234
