Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
114,73.5625,11.5,-28.125,-0.4736328,0.02539063,0.9091797,0.6689453,-0.7114258,-0.2148438
115,3.0625,10.3125,-11.125,-0.5092773,0.02929688,1.015625,0.6899414,-0.706543,-0.1831055
116,-1.125,11.25,-6.5,-0.4458008,0.02148438,0.9526367,0.6821289,-0.7241211,-0.1728516
117,-6.4375,12.375,-2.125,-0.4775391,0.04443359,0.972168,0.6660156,-0.7163086,-0.1728516
118,-10.375,13.3125,0.3125,-0.4458008,0.06005859,1.023926,0.6660156,-0.7163086,-0.1728516
119,-8.125,15.1875,2.0625,-0.4619141,0.04101563,1.023926,0.6953125,-0.7089844,-0.1884766
120,-9.5625,18.375,2.5,-0.4335938,0.08740234,1.003906,0.6953125,-0.7089844,-0.1884766
121,-15.625,21.3125,1.75,-0.3823242,0.1259766,0.9921875,0.6850586,-0.706543,-0.1782227
122,-22.3125,24.375,-1,-0.4018555,0.137207,0.972168,0.6899414,-0.7163086,-0.1782227
123,-27.875,26.9375,-3.6875,-0.3901367,0.09082031,1.007813,0.6899414,-0.7163086,-0.1782227
124,-29.3125,28.375,-5.75,-0.3979492,0.05224609,1.067383,0.6928711,-0.7011719,-0.1831055
125,-23.5625,26.5,-8.875,-0.4458008,0.02929688,1.14209,0.6928711,-0.7011719,-0.1831055
126,-8.125,20.3125,-10.6875,-0.4575195,0.001953125,1.154297,0.6928711,-0.7089844,-0.159668
127,9.125,13.875,-13,-0.4975586,0.02148438,1.083008,0.6928711,-0.7011719,-0.1674805
128,8.4375,11.3125,-12.3125,-0.4697266,0.01757813,0.9760742,0.6928711,-0.7011719,-0.1674805
129,0.3125,9.375,-10.3125,-0.4853516,0.02929688,0.9960938,0.6982422,-0.7089844,-0.1704102
130,1.25,8.3125,-7.375,-0.4736328,0.02929688,0.9882813,0.6982422,-0.6987305,-0.1572266
131,2.0625,6.75,-5.4375,-0.4296875,0.04443359,1.019531,0.6982422,-0.6987305,-0.1572266
132,1.625,-0.375,-4.3125,-0.4418945,0.04833984,0.9804688,0.7006836,-0.7036133,-0.1806641
133,3.6875,-5.375,-5.9375,-0.4536133,0.04833984,0.9960938,0.7006836,-0.7036133,-0.1806641
