Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
114,69.1875,16.9375,131.9375,0.2143555,0.2802734,0.8852539,0.2924805,-0.2763672,-0.2045898
115,137.5,27.9375,123.0625,0.08691406,-0.05126953,1.296387,0.2924805,-0.3227539,-0.2094727
116,128.5,4.5625,123.125,0.08691406,-0.01660156,1.3125,0.3056641,-0.3481445,-0.2016602
117,116.1875,-27.6875,118.5625,0.07519531,0.01757813,1.39502,0.3056641,-0.3632813,-0.2177734
118,127.5625,-28.6875,156.4375,-0.4975586,-0.2485352,1.65625,0.3056641,-0.3632813,-0.2177734
119,136.125,-19.25,248.25,-0.07958984,0.06396484,1.320313,0.2978516,-0.3837891,-0.2202148
120,125.0625,-35.8125,234.25,-0.03564453,0.4619141,0.8022461,0.2978516,-0.3837891,-0.2202148
121,103,-58.6875,200.125,0.01953125,0.4697266,1.019531,0.2949219,-0.394043,-0.2148438
122,87.1875,-64.25,188.4375,-0.01171875,0.3305664,1.019531,0.2817383,-0.4248047,-0.2202148
123,57.5625,-17.375,231.6875,-0.3305664,0.1875,1.154297,0.2817383,-0.4248047,-0.2202148
124,51.9375,15.1875,264.0625,-0.1831055,0.2612305,0.984375,0.2739258,-0.4375,-0.2255859
125,53,22.4375,245.1875,0.08300781,0.3730469,0.7749023,0.2578125,-0.4477539,-0.2226563
126,50.4375,36.125,181.4375,0.04736328,0.3730469,0.6918945,0.2578125,-0.4477539,-0.2226563
127,57.625,38.1875,175.9375,-0.04003906,0.07177734,0.8378906,0.2685547,-0.4682617,-0.2148438
128,52.1875,35.375,199,-0.02392578,0.1953125,0.7075195,0.2685547,-0.4682617,-0.2148438
129,31.0625,24.3125,210.5625,0.02734375,0.3266602,0.6796875,0.2578125,-0.4760742,-0.2177734
130,-0.75,27.0625,211.6875,0.03515625,0.3305664,1.031738,0.2495117,-0.4887695,-0.2148438
131,-33,28.875,103.75,0.06738281,0.2260742,0.2963867,0.2495117,-0.4887695,-0.2148438
132,-52.125,7.5625,178.625,0.1030273,-0.01660156,0.6640625,0.2548828,-0.4912109,-0.2124023
133,-49.0625,-3.75,185.3125,0.1030273,0.3227539,0.972168,0.2548828,-0.4912109,-0.2124023
134,-48.9375,7.5,170.625,0.1308594,0.3110352,1.031738,0.2524414,-0.4887695,-0.1962891
135,-50.9375,21.4375,176.4375,0.05908203,0.2070313,1.05127,0.2441406,-0.4785156,-0.2202148
136,-35.625,19.875,190.875,0.1230469,0.1914063,1.086914,0.2441406,-0.4785156,-0.2202148
137,-22.9375,33.5,202.125,0.1625977,0.2802734,1.324219,0.2441406,-0.480957,-0.2148438
138,-30,53.75,191.875,0.222168,0.5893555,1.023926,0.2470703,-0.4838867,-0.2226563
139,-30.6875,47.9375,127.4375,0.3139648,0.3808594,1.193848,0.2470703,-0.4838867,-0.2226563
140,1.75,66.9375,109.875,0.09912109,0.1181641,1.233398,0.2285156,-0.480957,-0.2202148
141,17.6875,80.625,118.9375,0.03515625,0.1220703,1.003906,0.2285156,-0.480957,-0.2202148
142,14.9375,80,111.625,0.1586914,0.1259766,0.7788086,0.2578125,-0.4838867,-0.2202148
143,-3.875,64.0625,104.4375,0.1469727,0.1142578,0.7392578,0.2387695,-0.4887695,-0.2177734
144,5.125,53.5,88.5,0.1547852,-0.04003906,0.8144531,0.2387695,-0.4887695,-0.2177734
145,10.875,58.625,111.9375,0.1191406,-0.1557617,0.8774414,0.2470703,-0.5014648,-0.2177734
146,8.3125,59.75,132.125,0.2543945,-0.04736328,0.9013672,0.2470703,-0.5014648,-0.2177734
147,7.5,66.0625,133.6875,0.2739258,-0.06298828,0.8891602,0.2495117,-0.5043945,-0.2070313
148,2.0625,60.9375,113.3125,0.4970703,0.04833984,0.8496094,0.2578125,-0.5014648,-0.2016602
149,19.5625,28.875,39.6875,0.4013672,-0.7314453,0.715332,0.2578125,-0.5014648,-0.2016602
150,30.3125,30.0625,75.1875,0.3300781,-0.434082,1.193848,0.2578125,-0.5068359,-0.2045898
151,31,32.875,70.0625,0.3378906,-0.07470703,1.083008,0.2602539,-0.5092773,-0.2070313
152,22.875,38.5625,54.25,0.2978516,-0.1171875,1.09082,0.2602539,-0.5092773,-0.2070313
153,25.0625,43.5625,54.6875,0.2504883,-0.07861328,1.043457,0.2548828,-0.5170898,-0.2094727
154,30.375,53.125,53.8125,0.2265625,-0.01269531,1.071289,0.2548828,-0.5170898,-0.2094727
155,32.6875,63.9375,48.8125,0.2421875,0.001953125,1,0.2548828,-0.5170898,-0.2016602
156,32.75,70,39.5,0.2783203,0.07958984,0.972168,0.2739258,-0.5219727,-0.1962891
157,25.6875,81.875,31.5625,0.3139648,0.03320313,0.9604492,0.2739258,-0.5219727,-0.1962891
158,12.1875,87.6875,18.1875,0.4174805,-0.01660156,1.043457,0.2763672,-0.5297852,-0.2016602
159,5.5625,90.8125,12.3125,0.4135742,-0.1132813,1.094727,0.2763672,-0.5297852,-0.2016602
160,1.3125,97,43.4375,0.3100586,-0.3530273,1.086914,0.2817383,-0.5322266,-0.1962891
161,-44.5,62.8125,149.25,-0.5532227,-0.1982422,0.4941406,0.2924805,-0.534668,-0.1884766
162,-58.6875,23,204.9375,0.2265625,-0.008789063,1.335938,0.2924805,-0.534668,-0.1884766
163,-31.375,50.5625,183.5625,0.4453125,0.1914063,1.130371,0.2895508,-0.5375977,-0.1914063
164,-38.5,63.1875,141.125,0.3974609,0.1835938,1.118652,0.2871094,-0.5375977,-0.1884766
165,-29.6875,74.875,129.625,0.2143555,-0.03222656,1.047363,0.2871094,-0.5375977,-0.1884766
166,-19.125,65.25,138.875,0.234375,-0.0009765625,0.8696289,0.2788086,-0.534668,-0.1914063
167,-23.75,48.1875,135.125,0.2460938,0.137207,0.7866211,0.2788086,-0.534668,-0.1914063
168,-25.5625,32.375,139.125,0.1826172,0.04833984,0.7749023,0.2924805,-0.5400391,-0.1914063
169,-20.3125,19.125,156.375,0.1625977,-0.01660156,0.7944336,0.2788086,-0.5400391,-0.1884766
170,-20.9375,0.375,178.375,0.1904297,-0.07861328,0.7192383,0.2788086,-0.5400391,-0.1884766
171,-35.1875,-21.6875,200.125,0.3618164,0.07958984,0.6757813,0.2685547,-0.5449219,-0.1831055
172,-51.125,-49.4375,197.875,0.4174805,0.08349609,0.8339844,0.2685547,-0.5449219,-0.1831055
173,-58.25,-67,197.75,0.4414063,0.06396484,1.003906,0.2631836,-0.5375977,-0.2045898
174,-60.75,-77,203.1875,0.4291992,0.01757813,1.102539,0.2470703,-0.5449219,-0.2045898
175,-74.6875,-75.5625,208.9375,0.4692383,0.06396484,1.189941,0.2470703,-0.5449219,-0.2045898
176,-90.0625,-63.25,210.5,0.4848633,0.1645508,1.280762,0.2177734,-0.5400391,-0.2070313
177,-90,-41.5,200.875,0.5048828,0.137207,1.513672,0.2255859,-0.5297852,-0.2148438
179,-65.75,-9.875,188.5625,0.4614258,0.1567383,1.56543,0.2255859,-0.5297852,-0.2148438
180,-37,18.0625,173.875,0.4213867,0.1723633,1.569336,0.1987305,-0.5297852,-0.2148438
181,-9.875,45.4375,153.625,0.3496094,0.2260742,1.561035,0.1987305,-0.5297852,-0.2148438
182,9.6875,68.9375,140.375,0.2382813,0.2724609,1.482422,0.1933594,-0.5273438,-0.2202148
183,23.1875,77.375,134.5625,0.1347656,0.3652344,1.415039,0.1962891,-0.5249023,-0.2202148
184,32.375,77.4375,129.0625,0.04736328,0.3500977,1.478027,0.1962891,-0.5249023,-0.2202148
185,36.0625,71,125.25,-0.05566406,0.6049805,1.462402,0.2070313,-0.5400391,-0.2045898
186,37.5,65.375,107.5,-0.04394531,0.5546875,1.470215,0.2070313,-0.5400391,-0.2045898
187,38,61.3125,96.125,-0.1074219,0.546875,1.505859,0.2016602,-0.5322266,-0.2045898
188,39.4375,61.75,82.75,-0.1074219,0.5390625,1.501953,0.2016602,-0.5424805,-0.2070313
189,41.375,62.4375,67.375,-0.1352539,0.512207,1.407227,0.2016602,-0.5424805,-0.2070313
190,39.0625,58.1875,54.4375,-0.1074219,0.5239258,1.324219,0.1933594,-0.5527344,-0.2016602
