Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
114,3.4375,-4.6875,-6.4375,0.1030273,-0.09375,1.213379,0.2788086,-0.15625,-0.2202148
115,12.5,-27.1875,-11.25,0.1547852,-0.03613281,1.213379,0.265625,-0.1640625,-0.2124023
116,9,-25,-8.9375,0.1665039,-0.04003906,1.225098,0.2548828,-0.1513672,-0.2124023
117,6.3125,-22.0625,-6.625,0.1547852,-0.01269531,1.185547,0.2548828,-0.1513672,-0.2124023
118,4.3125,-20.25,-4.625,0.1386719,-0.01660156,1.181641,0.2470703,-0.15625,-0.2255859
119,1.3125,-19.6875,-3.4375,0.1586914,-0.01269531,1.098633,0.2470703,-0.15625,-0.2255859
120,-1.0625,-17.8125,-2.1875,0.1748047,-0.05908203,1.134277,0.2495117,-0.1616211,-0.2280273
121,-4,-14.375,-0.75,0.1704102,-0.02050781,1.106934,0.2441406,-0.1616211,-0.2226563
122,-5.375,-11.6875,1,0.1704102,-0.05908203,1.035645,0.2441406,-0.1616211,-0.2226563
123,-3.4375,-10.25,2.125,0.1508789,-0.04736328,1.059082,0.2338867,-0.1586914,-0.2148438
124,1.3125,-10.1875,3.6875,0.1191406,-0.04394531,0.9960938,0.2338867,-0.1586914,-0.2148438
125,6.3125,-11.3125,4.4375,0.1508789,-0.04394531,1.003906,0.2363281,-0.1665039,-0.230957
126,12.3125,-16,4.5,0.1547852,-0.05517578,1.027832,0.2387695,-0.1713867,-0.2280273
127,16.375,-18.125,4.625,0.1625977,-0.04394531,1.059082,0.2387695,-0.1713867,-0.2280273
128,17.6875,-19.125,5,0.1508789,-0.0009765625,1.063477,0.2387695,-0.1713867,-0.2280273
129,16.875,-17.375,4.875,0.1469727,-0.02832031,1.154297,0.2285156,-0.1640625,-0.2280273
130,13.875,-14,5.0625,0.1547852,-0.04003906,1.158203,0.2285156,-0.1640625,-0.2280273
131,10.1875,-11.875,5.375,0.1586914,-0.0009765625,1.173828,0.2285156,-0.1640625,-0.2280273
132,7.6875,-9.9375,5.5625,0.1508789,-0.01269531,1.173828,0.2285156,-0.1640625,-0.2280273
133,7.0625,-8.9375,5.875,0.1386719,-0.04003906,1.150391,0.2255859,-0.1689453,-0.2280273
134,8.75,-9.625,6.4375,0.1269531,0.001953125,1.154297,0.2255859,-0.1689453,-0.2280273
135,12.1875,-13.375,6.5,0.1469727,-0.01660156,1.162109,0.2255859,-0.1689453,-0.2280273
136,14.75,-17.1875,6.625,0.1069336,0.005859375,1.138184,0.2363281,-0.1665039,-0.2226563
137,16.125,-19.125,6.6875,0.1191406,0.03320313,1.162109,0.2363281,-0.1665039,-0.2226563
138,15.5625,-17.9375,6.5625,0.1386719,0.005859375,1.177734,0.2363281,-0.1665039,-0.2226563
139,13.375,-15.9375,6.625,0.1308594,0.02148438,1.126465,0.2285156,-0.1791992,-0.2333984
140,11.5625,-13.8125,6,0.1704102,0.001953125,1.138184,0.2285156,-0.1791992,-0.2333984
141,9.8125,-12.0625,5.625,0.1069336,0.005859375,1.134277,0.2285156,-0.1791992,-0.2333984
142,8.875,-10.4375,5,0.1269531,0.001953125,1.09082,0.2255859,-0.1791992,-0.230957
143,9.375,-10.125,4.5625,0.1469727,0.02148438,1.059082,0.2255859,-0.1791992,-0.230957
144,9.5625,-11.4375,3.9375,0.1547852,-0.0009765625,1.075195,0.2255859,-0.1791992,-0.230957
145,9.9375,-12.125,4.125,0.1625977,0.009765625,1.083008,0.2255859,-0.1791992,-0.230957
146,10,-12.125,5.0625,0.1748047,0.04101563,1.086914,0.2202148,-0.1845703,-0.2280273
147,9.125,-12.625,6.0625,0.1665039,0.001953125,1.106934,0.2202148,-0.1845703,-0.2280273
148,9.3125,-12.0625,6.375,0.1625977,0.02929688,1.126465,0.2202148,-0.1845703,-0.2280273
149,9.3125,-11.4375,6.375,0.1865234,-0.0009765625,1.130371,0.2231445,-0.1816406,-0.2333984
150,8.875,-10.25,6.25,0.1865234,0.02929688,1.11084,0.2177734,-0.1845703,-0.2358398
151,8.5,-9.75,6.5,0.1748047,0.01367188,1.086914,0.2177734,-0.1845703,-0.2358398
152,7.5625,-9.375,7.1875,0.1704102,0.02148438,1.138184,0.2148438,-0.1845703,-0.2358398
153,6.5625,-7.8125,7.5625,0.1826172,0.02929688,1.154297,0.2148438,-0.1845703,-0.2358398
154,5.9375,-6.1875,8.0625,0.1586914,-0.008789063,1.130371,0.2231445,-0.1948242,-0.2387695
155,5.4375,-4.9375,7.75,0.1547852,0.02539063,1.106934,0.2070313,-0.1894531,-0.2358398
156,5,-2.8125,7.75,0.1748047,-0.008789063,1.102539,0.2070313,-0.1894531,-0.2358398
157,4.4375,-0.3125,7,0.1943359,-0.004882813,1.079102,0.2202148,-0.1918945,-0.230957
158,4.125,1.5625,6.9375,0.1943359,0.009765625,1.063477,0.2202148,-0.1918945,-0.230957
159,3.875,3.375,6.625,0.2382813,0.02539063,1.083008,0.2148438,-0.1972656,-0.230957
160,3.875,5,6.6875,0.206543,0.01367188,1.086914,0.2124023,-0.1894531,-0.2358398
161,4.1875,5.6875,6.75,0.206543,0.01367188,1.130371,0.2124023,-0.1894531,-0.2358398
162,5.125,6.9375,7,0.2104492,-0.0009765625,1.146484,0.2148438,-0.1918945,-0.2387695
163,7.625,6,7.5625,0.2143555,0.009765625,1.118652,0.2124023,-0.199707,-0.2358398
164,9.25,3.8125,7.5,0.206543,-0.01660156,1.094727,0.2124023,-0.199707,-0.2358398
165,8.5,2,7.25,0.222168,-0.02441406,1.162109,0.2202148,-0.1894531,-0.2358398
166,8.625,2.8125,6.6875,0.2104492,-0.008789063,1.181641,0.2202148,-0.1894531,-0.2358398
167,3.1875,5.625,7,0.1943359,-0.008789063,1.193848,0.2148438,-0.1948242,-0.2387695
168,5.8125,9.5,5.5,0.2304688,-0.004882813,1.193848,0.2231445,-0.2021484,-0.2358398
169,4.25,7.25,3.625,0.2265625,-0.02050781,1.14209,0.2231445,-0.2021484,-0.2358398
170,-1.4375,5.8125,3.375,0.1987305,0.01757813,1.173828,0.2231445,-0.2050781,-0.2358398
171,-1.0625,3.9375,2.3125,0.2265625,-0.03222656,1.11084,0.2231445,-0.2050781,-0.2358398
172,-1.25,3.375,2.3125,0.2026367,0.009765625,1.146484,0.2202148,-0.2021484,-0.2333984
173,-3.0625,3.5625,1.1875,0.1826172,-0.01269531,1.098633,0.2231445,-0.2021484,-0.2333984
174,-2.8125,3.375,1.375,0.1904297,-0.01269531,1.154297,0.2231445,-0.2021484,-0.2333984
175,-2.1875,2.75,2.25,0.2265625,-0.02441406,1.122559,0.2231445,-0.2021484,-0.2387695
176,0,2.125,1.75,0.1826172,0.001953125,1.114746,0.2148438,-0.1894531,-0.2387695
177,2.25,1.8125,2.25,0.2026367,-0.008789063,1.102539,0.2148438,-0.1894531,-0.2387695
179,4.3125,2.5625,2.8125,0.2182617,-0.01660156,1.086914,0.2041016,-0.1918945,-0.2333984
180,7.0625,2.3125,1.875,0.2182617,-0.0009765625,1.118652,0.2041016,-0.1918945,-0.2333984
181,10,2.125,2.5,0.222168,0.02148438,1.106934,0.2231445,-0.1918945,-0.230957
182,7.0625,2.5,2.625,0.234375,0.009765625,1.126465,0.2231445,-0.2099609,-0.230957
183,-4,1.5,0.9375,0.2265625,-0.004882813,1.063477,0.2231445,-0.2099609,-0.230957
184,-76.3125,-10.375,-7.1875,0.1469727,-0.09375,0.9960938,0.2255859,-0.2124023,-0.2387695
185,-55.3125,9.75,-0.5625,0.1108398,0.02929688,1.462402,0.2255859,-0.2124023,-0.2387695
186,4,20.875,-0.875,0.1865234,0.02539063,1.205566,0.2231445,-0.1870117,-0.2280273
187,-5.25,6.25,-3.375,0.2143555,0.01757813,1,0.2231445,-0.1918945,-0.230957
188,-25.375,-5.1875,-5.6875,0.1987305,0.01757813,1.122559,0.2231445,-0.1918945,-0.230957
189,-18.125,-2.4375,-4.375,0.1547852,-0.03613281,1.241211,0.2202148,-0.1948242,-0.2333984
190,-11.625,-0.125,-3.625,0.1787109,0.01757813,1.154297,0.2338867,-0.1918945,-0.2333984
191,-12.4375,-0.875,-3.125,0.1787109,0.005859375,1.138184,0.2338867,-0.1918945,-0.2333984
192,-11.625,-1.6875,-1.1875,0.222168,0.02539063,1.098633,0.2285156,-0.1767578,-0.230957
193,-7.1875,-4.875,0.5625,0.2421875,-0.004882813,1.102539,0.2285156,-0.1767578,-0.230957
194,-3.5,-8.125,3.9375,0.2265625,0.02539063,1.094727,0.2124023,-0.1767578,-0.2255859
195,2.5625,-14.1875,6.8125,0.2143555,0.009765625,1.122559,0.2148438,-0.1816406,-0.2358398
196,9.5625,-22.5625,9.25,0.2143555,0.02929688,1.102539,0.2148438,-0.1816406,-0.2358398
197,10.875,-28.75,11.0625,0.2143555,0.03320313,1.138184,0.2231445,-0.1894531,-0.2358398
198,13.25,-29.5625,11.75,0.1665039,0.03320313,1.154297,0.2231445,-0.1894531,-0.2358398
199,7.375,-28,16.25,0.1943359,-0.01269531,1.185547,0.2255859,-0.1816406,-0.2333984
200,2.9375,-22.1875,19.375,0.1943359,-0.004882813,1.189941,0.2202148,-0.1816406,-0.230957
201,-2.75,-17.6875,21.4375,0.2460938,0.009765625,1.181641,0.2202148,-0.1816406,-0.230957
202,-10,-14.4375,22,0.234375,-0.004882813,1.154297,0.2231445,-0.1845703,-0.2280273
203,-14.9375,-12.25,21.5625,0.2304688,0.01367188,1.126465,0.2094727,-0.1845703,-0.230957
204,-16.375,-10.5625,22,0.2182617,0.01367188,1.130371,0.2094727,-0.1845703,-0.230957
205,-15.8125,-11.375,21.9375,0.2504883,-0.03613281,1.09082,0.2094727,-0.1791992,-0.2280273
206,-14.8125,-13.0625,21.1875,0.2304688,-0.0009765625,1.059082,0.2094727,-0.1791992,-0.2280273
207,-6.375,-15,18.9375,0.2382813,-0.008789063,1.039551,0.2124023,-0.1870117,-0.2387695
208,-1.5625,-17.625,15.3125,0.234375,-0.02832031,1.047363,0.2094727,-0.1816406,-0.2387695
209,0.9375,-17.875,12.75,0.2382813,-0.02050781,1.079102,0.2094727,-0.1816406,-0.2387695
210,3.125,-16.5625,10.6875,0.2504883,-0.02050781,1.09082,0.2070313,-0.1791992,-0.2387695
211,4,-15.3125,8.5625,0.2421875,0.005859375,1.09082,0.2070313,-0.1791992,-0.2387695
212,3.8125,-13.375,8.4375,0.2421875,-0.004882813,1.122559,0.2124023,-0.1767578,-0.2280273
213,2.3125,-10.5,8.8125,0.2265625,-0.02050781,1.094727,0.2016602,-0.1845703,-0.230957
214,3,-10.875,10.5,0.2265625,-0.004882813,1.146484,0.2016602,-0.1845703,-0.230957
215,1,-10.125,11.8125,0.2900391,0.01757813,1.150391,0.2124023,-0.1845703,-0.2280273
216,-0.875,-9.9375,15.625,0.2783203,0.01367188,1.14209,0.2041016,-0.1816406,-0.2412109
217,-4.3125,-9.1875,19.5625,0.2939453,0.02929688,1.130371,0.2041016,-0.1816406,-0.2412109
218,-7.125,-5.625,23.1875,0.3139648,0.04443359,1.154297,0.2094727,-0.1948242,-0.2333984
219,-9.625,-1.9375,25.75,0.2583008,0.05224609,1.09082,0.2094727,-0.1948242,-0.2333984
220,-10.5,-0.0625,27.1875,0.2700195,0.02148438,1.122559,0.2041016,-0.1845703,-0.2202148
221,-8.8125,0.5,25.3125,0.3017578,0.01757813,1.059082,0.2041016,-0.1845703,-0.2358398
222,-6.6875,-1.625,23.25,0.2861328,0.001953125,1.043457,0.2041016,-0.1845703,-0.2358398
223,-5.0625,-3,21.25,0.2504883,0.01367188,1.019531,0.2041016,-0.1845703,-0.2255859
224,-4.9375,-1.8125,20.375,0.2978516,-0.04394531,1.031738,0.2041016,-0.1845703,-0.2255859
225,-4.1875,0.5625,22.3125,0.2822266,-0.04736328,1.086914,0.2041016,-0.1767578,-0.230957
226,-1.5,0.5625,26.5625,0.262207,-0.02050781,1.047363,0.2041016,-0.1791992,-0.2412109
227,6.0625,-5.25,32.375,0.2504883,-0.0009765625,1.035645,0.2041016,-0.1791992,-0.2412109
228,15.9375,-13.125,39.4375,0.2739258,-0.004882813,1.086914,0.2070313,-0.1918945,-0.230957
229,22.25,-19.5625,46.9375,0.2861328,0.009765625,1.150391,0.2202148,-0.1816406,-0.2387695
230,19.25,-22.25,54.125,0.2783203,-0.03222656,1.221191,0.2202148,-0.1816406,-0.2387695
231,11.1875,-20.9375,59.9375,0.2304688,0.001953125,1.3125,0.2094727,-0.1894531,-0.230957
232,4.4375,-16.5625,62.9375,0.262207,0.02929688,1.249023,0.2094727,-0.1894531,-0.230957
233,1.8125,-13.75,62.9375,0.2460938,-0.03613281,1.249023,0.2041016,-0.1894531,-0.2436523
234,-2,-11.3125,61.6875,0.2421875,0.001953125,1.237305,0.1962891,-0.1845703,-0.2333984
235,-3.625,-13,60.4375,0.2739258,-0.02050781,1.166016,0.1962891,-0.1845703,-0.2333984
236,-1.625,-15.4375,59.3125,0.2783203,-0.02832031,1.14209,0.2094727,-0.1870117,-0.2358398
237,2.5625,-16.625,59.875,0.2861328,-0.04394531,1.14209,0.2094727,-0.1870117,-0.2358398
238,7.8125,-15.6875,62.4375,0.3300781,-0.04736328,1.071289,0.2094727,-0.1918945,-0.2333984
239,13.75,-17.4375,67.375,0.3579102,-0.01660156,1,0.2016602,-0.1948242,-0.230957
240,25.75,-26.9375,74.0625,0.4135742,-0.04736328,0.9804688,0.2016602,-0.1948242,-0.230957
241,44,-43.375,81.75,0.3618164,0.005859375,0.9169922,0.2041016,-0.199707,-0.2358398
242,68.375,-73.25,88.6875,0.3339844,-0.0009765625,0.8261719,0.2070313,-0.199707,-0.246582
244,99.9375,-106.9375,93.3125,0.3339844,-0.008789063,0.8144531,0.2070313,-0.199707,-0.246582
245,128.4375,-129.625,96.3125,0.3735352,0.01757813,0.8735352,0.190918,-0.2075195,-0.2358398
246,145.125,-137.875,99.4375,0.3417969,0.02929688,0.9169922,0.190918,-0.2075195,-0.2358398
247,150.8125,-130.375,100.25,0.3618164,0.009765625,0.972168,0.1777344,-0.2250977,-0.2490234
248,147.4375,-117,99.0625,0.3535156,-0.01660156,0.9287109,0.1640625,-0.2456055,-0.2436523
249,140.5625,-106.125,96.875,0.3178711,-0.02050781,0.8417969,0.1640625,-0.2456055,-0.2436523
250,137.3125,-97,93.8125,0.3256836,-0.06689453,0.7587891,0.1586914,-0.2714844,-0.262207
251,142.8125,-93.25,91.5625,0.2861328,-0.04394531,0.7036133,0.1586914,-0.2714844,-0.262207
252,151.375,-95.75,89,0.2939453,-0.04736328,0.7036133,0.1484375,-0.2739258,-0.2519531
253,159.4375,-98.875,83.1875,0.3061523,-0.0009765625,0.7231445,0.1323242,-0.3046875,-0.2543945
254,162.375,-98.8125,72.8125,0.2978516,0.04833984,0.7905273,0.1323242,-0.3046875,-0.2543945
255,157.875,-91.25,61.25,0.262207,0.07568359,0.9526367,0.1108398,-0.3149414,-0.2568359
256,140.75,-78.1875,49.75,0.2861328,0.07958984,1.027832,0.1000977,-0.340332,-0.2597656
257,115.5,-60.75,41.3125,0.2543945,0.07958984,1.063477,0.1000977,-0.340332,-0.2597656
258,85.5,-38.75,34.6875,0.2822266,0.1259766,1.075195,0.1054688,-0.3530273,-0.262207
259,60.8125,-14.6875,28.3125,0.2304688,0.1103516,1.083008,0.1054688,-0.3530273,-0.262207
260,46.875,8.9375,22.1875,0.262207,0.1298828,1.102539,0.08935547,-0.3662109,-0.2597656
261,38.125,27.75,15.125,0.2739258,0.1450195,1.059082,0.1030273,-0.3686523,-0.2651367
262,25.8125,39.625,7.1875,0.2783203,0.3188477,1.150391,0.1030273,-0.3686523,-0.2651367
263,-57.5,89.0625,0.25,0.3896484,-0.07861328,2.525879,0.09472656,-0.3686523,-0.2568359
